id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,delta_temporal_faq_seg,atualidade,qoi
S001,status,Onde estão os ônibus da linha 6455-10 sentido 1?,Você pode acompanhar a localização dos ônibus da linha 6455-10 (sentido 1) através do seguinte link: [Olho Vivo - Linha 6455-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=LGO.%20S%C3%83O%20FRANCISCO).,multiagente,7.4719,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:05.051516,2026-06-28T18:17:12.523276,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=LGO.%20S%C3%83O%20FRANCISCO,63,6455-10,LGO. SÃO FRANCISCO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:04.796854,2026-06-28T18:17:05.051516,,,,,,,,,,,,,,,1,1.0,1.0,7.4718,,,,1.0,1.000000
S002,status,Onde estão os ônibus da linha 6455-10 sentido 2?,Você pode acompanhar a localização dos ônibus da linha 6455-10 (sentido 2) através do seguinte link: [Olho Vivo - Linha 6455-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=TERM.%20CAPELINHA).,multiagente,5.8342,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:12.525190,2026-06-28T18:17:18.358795,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=63&s=6455-10&sc=TERM.%20CAPELINHA,63,6455-10,TERM. CAPELINHA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:12.525190,2026-06-28T18:17:12.525190,,,,,,,,,,,,,,,1,1.0,1.0,5.8336,,,,1.0,1.000000
S003,status,Mostre o mapa da linha 875A-10 sentido 1.,Você pode visualizar o mapa da linha 875A-10 (sentido 1) através do seguinte link: [Olho Vivo - Linha 875A-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=PERDIZES).,multiagente,6.4299,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:18.648400,2026-06-28T18:17:25.078626,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=PERDIZES,609,875A-10,PERDIZES,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:18.359805,2026-06-28T18:17:18.648400,,,,,,,,,,,,,,,1,1.0,1.0,6.4302,,,,1.0,1.000000
S004,status,Mostre o mapa da linha 875A-10 sentido 2.,Você pode visualizar o mapa da linha 875A-10 (sentido 2) através do seguinte link: [Olho Vivo - Linha 875A-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=AEROPORTO).,multiagente,6.9575,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:25.080626,2026-06-28T18:17:32.037731,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=609&s=875A-10&sc=AEROPORTO,609,875A-10,AEROPORTO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:25.079628,2026-06-28T18:17:25.080626,,,,,,,,,,,,,,,1,1.0,1.0,6.9571,,,,1.0,1.000000
S005,status,Quero acompanhar os ônibus da linha 8000-10 sentido 1.,Você pode acompanhar os ônibus da linha 8000-10 (sentido 1) através do seguinte link: [Olho Vivo - Linha 8000-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=P%C3%87A.%20RAMOS%20DE%20AZEVEDO).,multiagente,7.8447,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:32.293346,2026-06-28T18:17:40.138850,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=P%C3%87A.%20RAMOS%20DE%20AZEVEDO,1273,8000-10,PÇA. RAMOS DE AZEVEDO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:32.038739,2026-06-28T18:17:32.293346,,,,,,,,,,,,,,,1,1.0,1.0,7.8455,,,,1.0,1.000000
S006,status,Quero acompanhar os ônibus da linha 8000-10 sentido 2.,Você pode acompanhar os ônibus da linha 8000-10 (sentido 2) através do seguinte link: [Olho Vivo - Linha 8000-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=TERM.%20LAPA).,multiagente,6.3865,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:40.138850,2026-06-28T18:17:46.525085,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=1273&s=8000-10&sc=TERM.%20LAPA,1273,8000-10,TERM. LAPA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:40.138850,2026-06-28T18:17:40.138850,,,,,,,,,,,,,,,1,1.0,1.0,6.3862,,,,1.0,1.000000
S007,status,Onde vejo a localização dos ônibus da linha 715M-10 sentido 1?,Você pode acompanhar a localização dos ônibus da linha 715M-10 (sentido 1) através do seguinte link: [Olho Vivo - Linha 715M-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=LGO.%20DA%20P%C3%93LVORA).,multiagente,6.6166,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:46.735569,2026-06-28T18:17:53.357259,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=LGO.%20DA%20P%C3%93LVORA,490,715M-10,LGO. DA PÓLVORA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:46.526090,2026-06-28T18:17:46.735569,,,,,,,,,,,,,,,1,1.0,1.0,6.6217,,,,1.0,1.000000
S008,status,Onde vejo a localização dos ônibus da linha 715M-10 sentido 2?,Você pode acompanhar a localização dos ônibus da linha 715M-10 (sentido 2) através do seguinte link: [Olho Vivo - Linha 715M-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=JD.%20MARIA%20LUIZA).,multiagente,6.8894,status_onibus_tool,status_onibus_tool,,2026-06-28T18:17:53.359259,2026-06-28T18:18:00.248221,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=490&s=715M-10&sc=JD.%20MARIA%20LUIZA,490,715M-10,JD. MARIA LUIZA,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:17:53.358257,2026-06-28T18:17:53.359259,,,,,,,,,,,,,,,1,1.0,1.0,6.889,,,,1.0,1.000000
S009,status,Abra o status em tempo real da linha 709M-10 sentido 1.,Você pode acompanhar o status em tempo real da linha 709M-10 (sentido 1) através do seguinte link: [Olho Vivo - Linha 709M-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20PINHEIROS).,multiagente,7.0664,status_onibus_tool,status_onibus_tool,,2026-06-28T18:18:00.524122,2026-06-28T18:18:07.590996,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20PINHEIROS,2462,709M-10,TERM. PINHEIROS,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:18:00.249164,2026-06-28T18:18:00.524122,,,,,,,,,,,,,,,1,1.0,1.0,7.0669,,,,1.0,1.000000
S010,status,Abra o status em tempo real da linha 709M-10 sentido 2.,Você pode acompanhar o status em tempo real da linha 709M-10 (sentido 2) através do seguinte link: [Olho Vivo - Linha 709M-10](https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20STO.%20AMARO).,multiagente,7.0259,status_onibus_tool,status_onibus_tool,,2026-06-28T18:18:07.591901,2026-06-28T18:18:14.617258,status,https://olhovivo.sptrans.com.br/#sp?cat=Mapa2&l=2462&s=709M-10&sc=TERM.%20STO.%20AMARO,2462,709M-10,TERM. STO. AMARO,,Foram encontrados 2 registros para o mesmo letreiro; foi usado o primeiro retorno da SPTrans.,2026-06-28T18:18:07.591901,2026-06-28T18:18:07.591901,,,,,,,,,,,,,,,1,1.0,1.0,7.0254,,,,1.0,1.000000
