id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,delta_temporal_faq_seg,atualidade,qoi
F002,faq,Preciso usar Bilhete Único para andar gratuitamente aos domingos?,"Parece que não conseguimos encontrar informações específicas sobre a necessidade de usar o Bilhete Único para andar gratuitamente aos domingos. 

No entanto, geralmente, a utilização do Bilhete Único é necessária para obter a gratuidade no transporte público, mesmo aos domingos. Recomendo que você verifique diretamente no site da SPTrans ou entre em contato com o atendimento ao público para obter esclarecimentos mais detalhados.

Se precisar de mais alguma informação ou ajuda, estou à disposição!",multiagente,13.0976,faq,faq,,2026-06-30T09:48:32.136561,2026-06-30T09:48:45.234414,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:48:32.136561,2026-06-30T09:48:32.136561,,,,,,,,,Preciso usar o Bilhete Único?,Sim. Os passageiros devem usar o Bilhete Único. Ao encostar o Bilhete Único no validador a catraca é liberada mas a tarifa não é cobrada.,"Preciso usar o Bilhete Único?

Sim. Os passageiros devem usar o Bilhete Único. Ao encostar o Bilhete Único no validador a catraca é liberada mas a tarifa não é cobrada.",GRATUIDADE AOS DOMINGOS,1.0,1.0,1,0.2308,0.3333,,,,13.0979,1.0,0.521367
F006,faq,"No Aquático SP, os barcos são seguros para quem não sabe nadar?","Sim, os barcos do Aquático SP são seguros para pessoas que não sabem nadar. Eles são vistoriados e aprovados pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas disponíveis. Portanto, você pode ficar tranquilo ao utilizá-los. 

Se tiver mais perguntas ou precisar de mais informações, estou à disposição!",multiagente,12.1649,faq,faq,,2026-06-30T09:48:45.236419,2026-06-30T09:48:57.399786,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:48:45.236419,2026-06-30T09:48:45.236419,,,,,,,,,"Eu não sei nadar, os barcos são seguros?","Sim, os barcos são vistoriados e aprovadas pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas.","Eu não sei nadar, os barcos são seguros?

Sim, os barcos são vistoriados e aprovadas pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas.",AQUÁTICO SP,1.0,1.0,1,0.8462,1.0,,,,12.1634,1.0,0.948733
F007,faq,Os barcos do Aquático SP têm espaço para levar bicicleta?,"Sim, os barcos do Aquático SP têm espaço exclusivo para o transporte de bicicletas. 

Se precisar de mais informações ou tiver outras perguntas, fique à vontade para perguntar!",multiagente,2.4885,faq,faq,,2026-06-30T09:48:57.399786,2026-06-30T09:48:59.889606,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:48:57.399786,2026-06-30T09:48:57.399786,,,,,,,,,Os barcos têm espaço para transporte de bicicleta?,O Aquático-SP conta com barcos com espaço exclusivo para o transporte de bicicletas.,"Os barcos têm espaço para transporte de bicicleta?

O Aquático-SP conta com barcos com espaço exclusivo para o transporte de bicicletas.",AQUÁTICO SP,1.0,1.0,1.0,1.0,1.0,,,,2.4898,1.0,1.000000
F010,faq,Posso levar animal de estimação no Aquático SP?,"Sim, você pode levar seu animal de estimação no Aquático SP, desde que seja de pequeno porte e transportado em caixas apropriadas. Essa política está de acordo com a Lei 16.125/2015, que regulamenta o transporte de animais domésticos no serviço municipal de transporte coletivo de passageiros em São Paulo.

Se precisar de mais informações ou tiver outras perguntas, estou à disposição!",multiagente,12.4038,faq,faq,,2026-06-30T09:48:59.889606,2026-06-30T09:49:12.294712,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:48:59.889606,2026-06-30T09:48:59.889606,,,,,,,,,Posso levar meu animal de estimação?,"Sim. Animais de estimação, de pequeno porte, em caixas apropriadas, podem ser transportados no colo - Lei 16.125/2015","Posso levar meu animal de estimação?

Sim. Animais de estimação, de pequeno porte, em caixas apropriadas, podem ser transportados no colo - Lei 16.125/2015",AQUÁTICO SP,1.0,1.0,1,0.8182,0.6667,,,,12.4051,1.0,0.828300
F011,faq,O que é o Serviço de Atendimento Especial Atende+ da SPTrans?,"O **Serviço de Atendimento Especial Atende+** é uma modalidade de transporte oferecida pela SPTrans, que visa promover a inclusão social de forma gratuita e porta a porta. É destinado a pessoas com autismo, surdocegueira ou deficiência física severa.

### Características do Atende+:
- **Veículos Adaptados:** Todos os veículos são equipados com plataformas de elevação para facilitar o embarque e desembarque dos passageiros.
- **Horário de Funcionamento:** O serviço opera das 7h às 20h, de segunda-feira a domingo.
- **Regulamentação:** O serviço é regido pela Lei 16.337 de 30/12/2015.

Essa iniciativa busca atender às necessidades de mobilidade da população com deficiência, proporcionando um meio seguro e adequado de transporte.

Se tiver mais perguntas ou precisar de mais informações, estou à disposição!",multiagente,16.8545,faq,faq,,2026-06-30T09:49:12.294712,2026-06-30T09:49:29.151851,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:12.294712,2026-06-30T09:49:12.294712,,,,,,,,,O que é o Serviço de Atendimento Especial Atende+?,"É uma modalidade de transporte que promove a inclusão social de forma gratuita, porta a porta, destinada às pessoas com autismo, surdocegueira ou deficiência física severa. Os veículos são adaptados e equipados com plataforma de elevação para embarque e desembarque. Horário do serviço: das 7h às 20h, de segunda-feira a domingo. O Serviço é regido pela Lei 16.337 de 30/12/2015.","O que é o Serviço de Atendimento Especial Atende+?

É uma modalidade de transporte que promove a inclusão social de forma gratuita, porta a porta, destinada às pessoas com autismo, surdocegueira ou deficiência física severa. Os veículos são adaptados e equipados com plataforma de elevação para embarque e desembarque. Horário do serviço: das 7h às 20h, de segunda-feira a domingo. O Serviço é regido pela Lei 16.337 de 30/12/2015.",ATENDE+,1.0,1.0,1,0.9394,1.0,,,,16.8571,1.0,0.979800
F012,faq,A quem se destina o Serviço Atende+ da SPTrans?,"O Serviço Atende+ da SPTrans é destinado exclusivamente a pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida. Esse serviço é voltado para aqueles que não possuem condições de mobilidade e acessibilidade autônoma aos meios de transporte convencionais ou que apresentam grandes restrições ao acesso e uso de equipamentos urbanos.

Se precisar de mais informações ou tiver outras perguntas, estou aqui para ajudar!",multiagente,3.984,faq,faq,,2026-06-30T09:49:29.152851,2026-06-30T09:49:33.137392,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:29.152851,2026-06-30T09:49:29.152851,,,,,,,,,A quem se destina o Serviço Atende+?,"Destina-se, exclusivamente, às pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida, as quais não apresentem condições de mobilidade e acessibilidade autônoma aos meios de transportes convencionais ou que manifestem grandes restrições ao acesso e uso de equipamentos urbanos.","A quem se destina o Serviço Atende+?

Destina-se, exclusivamente, às pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida, as quais não apresentem condições de mobilidade e acessibilidade autônoma aos meios de transportes convencionais ou que manifestem grandes restrições ao acesso e uso de equipamentos urbanos.",ATENDE+,1.0,1.0,1.0,0.7083,1.0,,,,3.9845,1.0,0.902767
F014,faq,Autistas e surdocegos precisam de acompanhante no Serviço Atende+?,"Sim, autistas e surdocegos precisam obrigatoriamente de acompanhantes para utilizar o Serviço Atende+ da SPTrans em suas viagens. Essa medida é importante para garantir a segurança e o suporte necessário durante o transporte.

Se tiver mais perguntas ou precisar de mais informações, estou à disposição!",multiagente,11.7505,faq,faq,,2026-06-30T09:49:33.139941,2026-06-30T09:49:44.890098,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:33.138406,2026-06-30T09:49:33.138406,,,,,,,,,Autistas e surdocegos precisam de acompanhantes?,Essas pessoas precisam obrigatoriamente de acompanhantes em suas viagens.,"Autistas e surdocegos precisam de acompanhantes?

Essas pessoas precisam obrigatoriamente de acompanhantes em suas viagens.",ATENDE+,1.0,1.0,1,0.6667,1.0,,,,11.7517,1.0,0.888900
F016,faq,O que é o Bilhete do Professor da SPTrans?,"O **Bilhete do Professor** é um cartão que permite aos professores que atendem aos requisitos necessários obter um desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano (metrô/trem). No entanto, é importante ressaltar que esse bilhete não garante o direito a cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na cidade de São Paulo, nem à gratuidade.

### Características do Bilhete do Professor:
- **Desconto:** Até 50% nas passagens de metrô e trem.
- **Não válido para ônibus:** Não oferece benefícios para o transporte coletivo de ônibus na cidade.
- **Solicitação:** Os professores devem preencher um processo de solicitação por meio da unidade de ensino, que encaminha os dados à SPTrans.

Dessa forma, o Bilhete do Professor é uma maneira de facilitar o acesso ao transporte público para os educadores, reconhecendo sua importância na sociedade.

Se precisar de mais informações ou tiver outras perguntas, estou à disposição!",multiagente,14.6889,faq,faq,,2026-06-30T09:49:44.891103,2026-06-30T09:49:59.579728,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:44.891103,2026-06-30T09:49:44.891103,,,,,,,,,O que é o Bilhete do Professor?,"É um cartão para o acesso ao professor que que possui os requisitos necessários ao benefício do desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ressaltamos que o professor não tem direito as cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, nem a gratuidade.","O que é o Bilhete do Professor?

É um cartão para o acesso ao professor que que possui os requisitos necessários ao benefício do desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ressaltamos que o professor não tem direito as cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, nem a gratuidade.",BILHETE DO PROFESSOR,1.0,1.0,1,0.96,1.0,,,,14.6886,1.0,0.986667
F017,faq,Como solicitar o Bilhete do Professor da SPTrans?,"Para solicitar o **Bilhete do Professor** da SPTrans, você deve seguir os seguintes passos:

1. **Informe a Unidade de Ensino:** Notifique a unidade de ensino onde deseja utilizar o Bilhete do Professor no ano vigente.
  
2. **Aguarde o envio dos dados:** A unidade de ensino enviará suas informações à SPTrans. Você pode acompanhar essa etapa através do site [sptrans.com.br/professor](http://sptrans.com.br/professor).

3. **Inicie o processo de solicitação:** Acesse o site e digite seu RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor.

4. **Pagamento:** Realize o pagamento correspondente a 5 tarifas de ônibus vigentes, utilizando PIX, cartão de crédito ou boleto.

5. **Recebimento do cartão:** Após a conclusão dessas etapas, o cartão será enviado para a sua unidade de ensino em até 20 dias úteis a partir da confirmação do pagamento do pedido.

Se precisar de mais ajuda ou informações adicionais, estou aqui para ajudar!",multiagente,5.6343,faq,faq,,2026-06-30T09:49:59.581740,2026-06-30T09:50:05.216367,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:49:59.581740,2026-06-30T09:49:59.581740,,,,,,,,,Como faço para solicitar o Bilhete do Professor?,"Informe a Unidade de Ensino que deseja utilizar o Bilhete do Professor no ano vigente;


Aguarde o envio dos seus dados à SPTrans pela Unidade de Ensino. Você pode acompanhar essa etapa  através do site sptrans.com.br/professor;


Basta iniciar o processo de solicitação e digitar RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor;


Pague o valor correspondente a 5 tarifas de ônibus vigentes, por PIX, cartão de crédito ou boleto;


Após a conclusão dessas etapas o cartão será encaminhado para a sua unidade de ensino, em até 20 (vinte) dias úteis a partir da confirmação de pagamento do pedido.","Como faço para solicitar o Bilhete do Professor?

Informe a Unidade de Ensino que deseja utilizar o Bilhete do Professor no ano vigente;


Aguarde o envio dos seus dados à SPTrans pela Unidade de Ensino. Você pode acompanhar essa etapa  através do site sptrans.com.br/professor;


Basta iniciar o processo de solicitação e digitar RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor;


Pague o valor correspondente a 5 tarifas de ônibus vigentes, por PIX, cartão de crédito ou boleto;


Após a conclusão dessas etapas o cartão será encaminhado para a sua unidade de ensino, em até 20 (vinte) dias úteis a partir da confirmação de pagamento do pedido.",BILHETE DO PROFESSOR,1.0,1.0,1.0,0.9245,1.0,,,,5.6346,1.0,0.974833
F019,faq,"Depois de comprar cotas do Bilhete do Professor, posso mudar de opção ou transferir o saldo?","Não, não é possível mudar de opção ou transferir saldo após a compra de cotas do Bilhete do Professor da SPTrans. O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano (metrô/trem) e não pode ser utilizado em ônibus do Sistema de Transporte Coletivo Público de Passageiros da cidade de São Paulo.

Se tiver mais perguntas ou precisar de mais informações, estou à disposição!",multiagente,20.592,faq,faq,,2026-06-30T09:50:05.218276,2026-06-30T09:50:25.809631,faq,,,,,,Gabarito FAQ definido manualmente no CSV de entrada.,2026-06-30T09:50:05.218276,2026-06-30T09:50:05.218276,,,,,,,,,Depois de comprada a cota posso mudar de opção e transferir o saldo?,O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ele não é aceito nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo.,"Depois de comprada a cota posso mudar de opção e transferir o saldo?

O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ele não é aceito nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo.",BILHETE DO PROFESSOR,1.0,1.0,1,0.8824,1.0,,,,20.5914,1.0,0.960800
